experiment,experiment_label,layer,component,type,param_name,frobenius_norm,spectral_norm,nuclear_norm,effective_rank,stable_rank,spectral_entropy,gini_coefficient,rank_90,rank_95,rank_99,top1_energy,top5_energy,top10_energy,top50_energy,num_sv
muon_grpo,Muon + GRPO,19,up_proj,mlp,model.layers.19.mlp.up_proj.weight,0.03636232975345543,0.0019129090942442417,1.366606604761671,1412.4842985362002,361.3389166175544,0.9783295701372399,0.1687280477621096,1136,1296,1473,0.002767484912394345,0.01164195943092816,0.021206023119306444,0.08337393309433527,1536
muon_grpo,Muon + GRPO,19,k_proj,attn,model.layers.19.self_attn.k_proj.weight,0.006466016492642021,0.0007232446223497391,0.10015679999196436,239.93149757178298,79.9287810291918,0.9771431608231409,0.14645044981284028,198,223,248,0.012511137879542757,0.0526508598983406,0.09718657394154741,0.35617395135368185,256
muon_grpo,Muon + GRPO,19,o_proj,attn,model.layers.19.self_attn.o_proj.weight,0.01270664142624625,0.0007641584961675107,0.4258683856823672,1123.2831746384038,276.4996952184827,0.9358294802524035,0.3491126780972067,798,945,1184,0.0036166405145937924,0.016071652911531127,0.02887362474287115,0.11191419764508047,1536
muon_grpo,Muon + GRPO,19,q_proj,attn,model.layers.19.self_attn.q_proj.weight,0.011775511336145596,0.0007511175936087966,0.38309852107812503,1058.4281969078918,245.77838173117635,0.9242952580136617,0.3851352884402086,735,882,1134,0.004068706095940384,0.017344752053958096,0.031841014392535436,0.12590526258074458,1536
muon_grpo,Muon + GRPO,19,v_proj,attn,model.layers.19.self_attn.v_proj.weight,0.006309972666350244,0.0007540631922893226,0.09718961436010431,237.23827734983786,70.02279974482413,0.9727866615970043,0.15681015188386183,196,221,248,0.01428106279160763,0.06161070075194647,0.10966474396938307,0.37712069015388106,256
muon_grpo,Muon + GRPO,2,down_proj,mlp,model.layers.2.mlp.down_proj.weight,0.0383096569619145,0.0017635668627917767,1.4525473809917457,1437.6199435636788,471.88119066476196,0.9825604494418634,0.14878220619689642,1174,1326,1484,0.0021191774959100434,0.010299976574555227,0.020028502893137415,0.08143649557354056,1536
muon_grpo,Muon + GRPO,2,gate_proj,mlp,model.layers.2.mlp.gate_proj.weight,0.038044115670219016,0.00179280957672745,1.4461543972512914,1444.9550528557402,450.30488680175955,0.984010996012295,0.1417501792524012,1188,1333,1482,0.0022207176277885612,0.010349906220374915,0.019883357424539453,0.07989278665419473,1536
muon_grpo,Muon + GRPO,2,up_proj,mlp,model.layers.2.mlp.up_proj.weight,0.037904384406319346,0.0017951198387891054,1.4383493027005443,1439.9580454907093,445.85331747771244,0.98313835128695,0.1460833095912979,1181,1328,1481,0.002242890118340296,0.01048319851881058,0.02004432583402126,0.08094032041692893,1536
muon_grpo,Muon + GRPO,2,k_proj,attn,model.layers.2.self_attn.k_proj.weight,0.006653213554678271,0.0007619785028509796,0.10157914146839175,233.10207986232618,76.23905230478542,0.967551121339189,0.17744813991864317,188,215,245,0.013116637337020407,0.05885196982243727,0.10846420661025857,0.392952458341428,256
muon_grpo,Muon + GRPO,2,o_proj,attn,model.layers.2.self_attn.o_proj.weight,0.013057823678852042,0.0007511192234233022,0.4383301061116498,1126.83674708135,302.220448605472,0.9362057846965566,0.346724375803791,804,950,1188,0.00330884294763731,0.015460456160014242,0.0295616564198138,0.11767069205250953,1536
muon_grpo,Muon + GRPO,2,q_proj,attn,model.layers.2.self_attn.q_proj.weight,0.01114399613119631,0.0007484144880436361,0.35198491275541727,997.6223997505292,221.71625434559505,0.9119452704301393,0.4164654204913616,681,829,1093,0.004510269231056345,0.020676359060013666,0.03871962749582109,0.15088477536369602,1536
muon_grpo,Muon + GRPO,2,v_proj,attn,model.layers.2.self_attn.v_proj.weight,0.006576112508556945,0.000705485581420362,0.10070909591740929,234.53028154003928,86.888477081361,0.9692999793557114,0.17092875987690093,191,218,247,0.011509005953270602,0.05455152729349173,0.10336958435698142,0.39370318598343373,256
muon_grpo,Muon + GRPO,20,down_proj,mlp,model.layers.20.mlp.down_proj.weight,0.036920693808849,0.0018964052433148026,1.3924051566282287,1422.3010763174373,379.0333399884397,0.9799011380177127,0.16125878397593563,1151,1309,1479,0.002638290341505313,0.011510646497955582,0.021271487723683775,0.0824086088716934,1536
muon_grpo,Muon + GRPO,20,gate_proj,mlp,model.layers.20.mlp.gate_proj.weight,0.03691121734433891,0.0019215408246964216,1.3928447730793323,1423.9301975828714,368.99247162076466,0.9803096083353113,0.15999350584922212,1153,1310,1478,0.0027100823916748062,0.011274032066686736,0.02057979207965323,0.0808804397704885,1536
muon_grpo,Muon + GRPO,20,up_proj,mlp,model.layers.20.mlp.up_proj.weight,0.036099972218276544,0.0019097173353657126,1.3543235884151272,1407.4440844106423,357.3349986026453,0.9774541922919592,0.17255390765198952,1128,1291,1471,0.0027984944209508986,0.0116625231423894,0.02137633199025162,0.08430388719313289,1536
muon_grpo,Muon + GRPO,20,k_proj,attn,model.layers.20.self_attn.k_proj.weight,0.006426887365787635,0.0007730433135293424,0.09926440825802274,238.55347013632257,69.11840718451244,0.9747171990892433,0.15063340710808015,197,222,248,0.01446792599445308,0.06172015486770547,0.10878702451891437,0.36612767425225196,256
muon_grpo,Muon + GRPO,20,o_proj,attn,model.layers.20.self_attn.o_proj.weight,0.012284538494181079,0.000737170223146677,0.406309739791908,1093.9482429490436,277.7039918701319,0.9307674762728851,0.3657320642382569,770,917,1161,0.0036009565194426493,0.01570677507692486,0.02883564304972041,0.11723769118391025,1536
muon_grpo,Muon + GRPO,20,q_proj,attn,model.layers.20.self_attn.q_proj.weight,0.010856359215543237,0.0007237978861667216,0.34489785601423817,1009.2821202825678,224.97475566516886,0.9143430846102725,0.410618687901781,692,840,1100,0.004444943153925703,0.020261709210344758,0.037573269918845055,0.14326292776874702,1536
muon_grpo,Muon + GRPO,20,v_proj,attn,model.layers.20.self_attn.v_proj.weight,0.006300899981479626,0.0007565547130070627,0.09710482173250057,237.50700270448837,69.36246033460193,0.9732653496203374,0.1560625656528345,196,221,248,0.014417020318714722,0.05895267563493333,0.10673038593914821,0.37557777207357984,256
muon_grpo,Muon + GRPO,21,down_proj,mlp,model.layers.21.mlp.down_proj.weight,0.0356666388294381,0.0018664317904040217,1.334282183466712,1399.493887422181,365.1742297409228,0.9759233672192217,0.178278607817264,1118,1284,1470,0.00273841886572736,0.011853238121918581,0.022115478677951873,0.0872589534823518,1536
muon_grpo,Muon + GRPO,21,gate_proj,mlp,model.layers.21.mlp.gate_proj.weight,0.035207010898005,0.0019006648799404502,1.3140360561665148,1393.0164814401512,343.1209292639647,0.97485110550299,0.18305354332138557,1108,1275,1466,0.0029144243755259095,0.012106567141920195,0.02211736661100314,0.08731149597276504,1536
