experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16
adamw_bf16,AdamW + BF16,15,q_proj,attn,model.layers.15.self_attn.q_proj.weight,2359296,54358,2304938,0.9769600762261285,54358,2304938,0.9769600762261285
adamw_bf16,AdamW + BF16,15,v_proj,attn,model.layers.15.self_attn.v_proj.weight,393216,7922,385294,0.9798533121744791,7922,385294,0.9798533121744791
adamw_bf16,AdamW + BF16,16,down_proj,mlp,model.layers.16.mlp.down_proj.weight,13762560,297866,13464694,0.9783567882719494,297866,13464694,0.9783567882719494
adamw_bf16,AdamW + BF16,16,gate_proj,mlp,model.layers.16.mlp.gate_proj.weight,13762560,278898,13483662,0.9797350202287947,278898,13483662,0.9797350202287947
adamw_bf16,AdamW + BF16,16,up_proj,mlp,model.layers.16.mlp.up_proj.weight,13762560,277776,13484784,0.9798165457589285,277776,13484784,0.9798165457589285
adamw_bf16,AdamW + BF16,16,k_proj,attn,model.layers.16.self_attn.k_proj.weight,393216,6958,386258,0.9823048909505209,6958,386258,0.9823048909505209
adamw_bf16,AdamW + BF16,16,o_proj,attn,model.layers.16.self_attn.o_proj.weight,2359296,58983,2300313,0.974999745686849,58983,2300313,0.974999745686849
adamw_bf16,AdamW + BF16,16,q_proj,attn,model.layers.16.self_attn.q_proj.weight,2359296,46434,2312862,0.9803187052408854,46434,2312862,0.9803187052408854
adamw_bf16,AdamW + BF16,16,v_proj,attn,model.layers.16.self_attn.v_proj.weight,393216,8069,385147,0.9794794718424479,8069,385147,0.9794794718424479
adamw_bf16,AdamW + BF16,17,down_proj,mlp,model.layers.17.mlp.down_proj.weight,13762560,292647,13469913,0.9787360055106027,292647,13469913,0.9787360055106027
adamw_bf16,AdamW + BF16,17,gate_proj,mlp,model.layers.17.mlp.gate_proj.weight,13762560,276469,13486091,0.9799115135556176,276469,13486091,0.9799115135556176
adamw_bf16,AdamW + BF16,17,up_proj,mlp,model.layers.17.mlp.up_proj.weight,13762560,274557,13488003,0.9800504411969866,274557,13488003,0.9800504411969866
