experiment,experiment_label,layer,component,type,param_name,n_params,n_changed,n_unchanged,sparsity,n_changed_bf16,n_unchanged_bf16,sparsity_bf16,n_changed_thresh,sparsity_thresh,n_changed_bf16_thresh,sparsity_bf16_thresh
adamw_grpo_fp32,AdamW + GRPO (FP32),8,down_proj,mlp,model.layers.8.mlp.down_proj.weight,13762560,13762074,486,3.5313197544684094e-05,2473924,11288636,0.8202424548921131,6570099,0.5226106916155133,1979034,0.8562016078404018
adamw_grpo_fp32,AdamW + GRPO (FP32),8,gate_proj,mlp,model.layers.8.mlp.gate_proj.weight,13762560,13761974,586,4.2579287574451286e-05,2064441,11698119,0.8499958583286831,6351315,0.5385077340262276,1627493,0.8817448933919271
adamw_grpo_fp32,AdamW + GRPO (FP32),8,up_proj,mlp,model.layers.8.mlp.up_proj.weight,13762560,13762027,533,3.8728259858622494e-05,2320026,11442534,0.831424822126116,6498552,0.5278093610491071,1846018,0.8658666701543899
adamw_grpo_fp32,AdamW + GRPO (FP32),8,k_proj,attn,model.layers.8.self_attn.k_proj.weight,393216,393195,21,5.340576171875e-05,47153,346063,0.8800837198893229,166921,0.5754979451497395,35650,0.9093373616536459
adamw_grpo_fp32,AdamW + GRPO (FP32),8,o_proj,attn,model.layers.8.self_attn.o_proj.weight,2359296,2359209,87,3.687540690100466e-05,435930,1923366,0.8152287801106771,1122351,0.5242856343587239,348518,0.852278815375434
adamw_grpo_fp32,AdamW + GRPO (FP32),8,q_proj,attn,model.layers.8.self_attn.q_proj.weight,2359296,2359190,106,4.4928656684040114e-05,343628,2015668,0.8543514675564237,1025462,0.565352545844184,262551,0.8887163798014323
adamw_grpo_fp32,AdamW + GRPO (FP32),8,v_proj,attn,model.layers.8.self_attn.v_proj.weight,393216,393201,15,3.814697265625e-05,65974,327242,0.8322194417317709,184790,0.5300547281901042,52211,0.8672205607096354
adamw_grpo_fp32,AdamW + GRPO (FP32),9,down_proj,mlp,model.layers.9.mlp.down_proj.weight,13762560,13762071,489,3.553118024557378e-05,2449011,11313549,0.8220526559012277,6613964,0.5194234212239583,1965966,0.857151140485491
adamw_grpo_fp32,AdamW + GRPO (FP32),9,gate_proj,mlp,model.layers.9.mlp.gate_proj.weight,13762560,13761976,584,4.243396577385816e-05,2098990,11663570,0.8474854968843006,6409810,0.5342574346633184,1663372,0.8791378929501488
adamw_grpo_fp32,AdamW + GRPO (FP32),9,up_proj,mlp,model.layers.9.mlp.up_proj.weight,13762560,13762003,557,4.0472121465739974e-05,2300856,11461704,0.8328177315848214,6534630,0.5251879010881697,1835371,0.8666402907598586
adamw_grpo_fp32,AdamW + GRPO (FP32),9,k_proj,attn,model.layers.9.self_attn.k_proj.weight,393216,393199,17,4.323323567712034e-05,61246,331970,0.8442433675130209,178065,0.5471572875976562,47168,0.8800455729166666
adamw_grpo_fp32,AdamW + GRPO (FP32),9,o_proj,attn,model.layers.9.self_attn.o_proj.weight,2359296,2359219,77,3.263685438370523e-05,517947,1841349,0.7804654439290365,1145822,0.5143373277452257,414724,0.8242170545789931
adamw_grpo_fp32,AdamW + GRPO (FP32),9,q_proj,attn,model.layers.9.self_attn.q_proj.weight,2359296,2359182,114,4.831949869787966e-05,413420,1945876,0.8247697618272569,1045296,0.55694580078125,313211,0.8672438727484809
adamw_grpo_fp32,AdamW + GRPO (FP32),9,v_proj,attn,model.layers.9.self_attn.v_proj.weight,393216,393205,11,2.797444661462034e-05,79764,313452,0.797149658203125,183554,0.5331980387369792,61808,0.8428141276041666
adamw_grpo_bf16,AdamW + GRPO (BF16),-1,embed,embed,model.embed_tokens.weight,233373696,174376,233199320,0.9992528035378931,174376,233199320,0.9992528035378931,21928,0.9999060391107659,21263,0.9999088886178501
